date,harris_mean,harris_var,trump_mean,trump_var
2024-07-21,,,0.42245028109381144,0.002882380192017179
2024-07-22,,,0.4222679161943897,0.0029355028459142236
2024-07-23,,,0.42209021920232304,0.002988155095993834
2024-07-24,0.4793035019310253,0.0004047995791386887,0.4378804185407715,0.00021845046288681161
2024-07-25,0.4859734085651454,0.0004554345824405817,0.4284286817749118,0.0002843600508103413
2024-07-26,0.4848033569274483,0.0006891308538974425,0.42906013107969654,0.0004070797055969613
2024-07-27,0.4842287747540624,0.0009181374089763235,0.4291245825593005,0.0005189680089635092
2024-07-28,0.4838851305617566,0.0011454472989460179,0.4290196286468047,0.0006228288571118841
2024-07-29,0.48365597813526,0.0013719512396384822,0.4288496837280203,0.0007201167683337428
2024-07-30,0.4834921059180868,0.0015980088149548188,0.428652732052546,0.0008118334636139122
2024-07-31,0.48336903321091745,0.0018237932367586804,0.42844523079369823,0.0008987442890632489
2024-08-01,0.4832731819305532,0.0020493983046518875,0.4282350814477752,0.0009814618179435314
2024-08-02,0.4831964064132635,0.0022748792583243142,0.42802630625357485,0.001060488922876989
2024-08-03,0.46815673315773226,0.000881579677751428,0.41967536314611836,0.000616889251937716
2024-08-04,0.4704671089836169,0.0012360395399041064,0.4214606238919344,0.0007864171917123161
2024-08-05,0.4719156183134786,0.0015263267823570278,0.42239143469762197,0.0009097779758386513
2024-08-06,0.47290629330259437,0.0017823631232177287,0.42293206553687923,0.0010108893626929502
2024-08-07,0.4736252308482931,0.0020179674841151354,0.4232629622996143,0.0010991538142313237
2024-08-08,0.4741699605775794,0.002240404580811191,0.423468867436753,0.0011790676874605956
2024-08-09,0.4745964717915048,0.0024538591546218146,0.4235948136096083,0.00125308248746286
2024-08-10,0.47493916892200017,0.0026609119984885815,0.4236669185159113,0.0013226685244935072
2024-08-11,0.4752203402076201,0.002863241337837722,0.42370135025921735,0.0013887743854017805
2024-08-12,0.47545504870950367,0.003061985737921088,0.4237086354862386,0.0014520484484600458
2024-08-13,0.47565383374265746,0.0032579449246524193,0.42369590835542664,0.0015129550979416674
2024-08-14,0.47582428617835293,0.0034516971309552498,0.4236681640241219,0.0015718399548225383
2024-08-15,0.47167847307677013,0.0010240780078431778,0.4109434478338477,0.0007544346407020964
2024-08-16,0.47230276289688733,0.0014471237301907963,0.41362482573759873,0.0009733116845688875
2024-08-17,0.47276498006547074,0.0017899568375648984,0.41525236620388684,0.0011272546042925317
2024-08-18,0.4731250976813255,0.0020838292081432185,0.4163363468203508,0.0012473301291826254
2024-08-19,0.4734159698545975,0.0023455535820432216,0.4171027353444788,0.0013473147476298162
2024-08-20,0.47365726734439556,0.0025849929124160207,0.41766719921823164,0.0014342634094075808
2024-08-21,0.4738615819345582,0.002808323170814812,0.4180951710575367,0.0015121776567026037
2024-08-22,0.47403740440870906,0.0030196139301345314,0.4184264824466624,0.0015835291747096517
2024-08-23,0.47419070296702637,0.003221658976027214,0.41868684060873357,0.0016499113770731906
2024-08-24,0.47432581697413767,0.003416441947986397,0.4188935876273611,0.0017124074037852093
2024-08-25,0.4744459910809668,0.0036054114964355444,0.419058859184269,0.001771782240578213
2024-08-26,0.47455370909060896,0.0037896511596539665,0.41918688318157893,0.0018284388459827064
2024-08-27,0.47465091072442467,0.003969988199446517,0.4192843596361162,0.0018827915618211699
