date,harris_mean,harris_var,trump_mean,trump_var,other_mean,other_var
2024-08-20,0.6151852090446436,0.0006467561682664434,0.30488327236448287,0.0006264203968517903,0.07000000000000002,0.0010085
2024-08-21,0.6151710966098997,0.000654448511857393,0.3048795160810498,0.0006302301700106877,0.07,0.00101025
2024-08-22,0.6151306807699404,0.0006775231535575919,0.3048685150314914,0.0006416590264701425,0.07,0.0010155000000000001
2024-08-23,0.6150691069921728,0.000715973695696453,0.304851026263518,0.0006607056573236225,0.07,0.00102425
2024-08-24,0.6149932341001353,0.0007697916102841678,0.30482817140432755,0.0006873681233206054,0.07,0.0010365
2024-08-25,0.6149099848526234,0.0008389682898363585,0.30480127002453455,0.000721644142973974,0.06999999999999999,0.00105225
2024-08-26,0.6148251748251747,0.0009234965034965035,0.3047716733045993,0.0007635313801443979,0.07000000000000002,0.0010715
2024-08-27,0.614743013007104,0.0010233710179738229,0.3047406306837103,0.0008130276745993119,0.07,0.0010942500000000002
2024-08-28,0.6146661300354908,0.0011385885624382568,0.30470920492077924,0.0008701311888692101,0.07,0.0011205
2024-08-29,0.6145958808566505,0.0012691474522031673,0.30467823491412915,0.0009348404725309811,0.07,0.00115025
2024-08-30,0.5850296263110132,0.0006494835140023716,0.32555663346797964,0.0005428300389153521,0.07,0.0011835
2024-08-31,0.5837070539597007,0.0006859678261749466,0.3263206516296028,0.0005672349694587019,0.07,0.0012202500000000002
2024-09-01,0.5827246693042593,0.000731870329809375,0.326936672761928,0.0005966082472658274,0.07,0.0012605000000000001
2024-09-02,0.5820520542678991,0.0007886039061571398,0.3274058861202153,0.0006314588533321359,0.07,0.00130425
2024-09-03,0.5816446621715619,0.0008571349409282639,0.327737512251941,0.0006721902898980429,0.07,0.0013515
2024-09-04,0.5814534243217281,0.0009380256095114196,0.3279460698782572,0.0007190908258769595,0.07,0.00140225
2024-09-05,0.5814312480060762,0.0010315203682656796,0.32804879526944686,0.0007723406430687281,0.07,0.0014565000000000001
2024-09-06,0.5815365634364352,0.0011376402083646418,0.3280635716988379,0.0008320289284367676,0.07,0.0015142500000000002
2024-09-07,0.5817346806942196,0.001256264650572434,0.32800748600907,0.0008981747456325675,0.07,0.0015755
2024-09-08,0.5989795938260924,0.0006533269883149418,0.3314939703026978,0.0005392796383637602,0.06952643587120971,0.0016181318262540561
2024-09-09,0.599287323629991,0.0006868276771144055,0.3312658362819399,0.0005635790815328513,0.0694468400880691,0.001681604583174527
2024-09-10,0.5995262365687779,0.0007302212611353079,0.3310850407549697,0.0005922558354137811,0.0693887226762523,0.0017492935723206436
2024-09-11,0.5997027646386195,0.0007847684067316575,0.33094706530362233,0.0006257987660521734,0.06935017005775812,0.0018212096356127888
2024-09-12,0.5998279810636511,0.0008512224143655474,0.3308436283507429,0.0006645890370032523,0.06932839058560611,0.0018973120387545817
2024-09-13,0.5999142327494513,0.0009299012536009316,0.3307654573509396,0.0007088949233876782,0.06932030989960902,0.001977530258708408
2024-09-14,0.599973018777346,0.0010207974864956402,0.3307040095420601,0.0007588797973569896,0.06932297168059404,0.0020617814312093147
